ID,city,state,state_code,code,time_created
1, Alabaster city, Alabama, 01, 00820, 2021-01-19 14:47:03
2, Albertville city, Alabama, 01, 00988, 2021-01-19 14:47:03
3, Anniston city, Alabama, 01, 01852, 2021-01-19 14:47:03
4, Athens city, Alabama, 01, 02956, 2021-01-19 14:47:03
5, Auburn city, Alabama, 01, 03076, 2021-01-19 14:47:03
6, Bessemer city, Alabama, 01, 05980, 2021-01-19 14:47:03
7, Birmingham city, Alabama, 01, 07000, 2021-01-19 14:47:03
8, Daphne city, Alabama, 01, 19648, 2021-01-19 14:47:03
9, Decatur city, Alabama, 01, 20104, 2021-01-19 14:47:03
10, Dothan city, Alabama, 01, 21184, 2021-01-19 14:47:03
11, Enterprise city, Alabama, 01, 24184, 2021-01-19 14:47:03
12, Florence city, Alabama, 01, 26896, 2021-01-19 14:47:03
13, Gadsden city, Alabama, 01, 28696, 2021-01-19 14:47:03
14, Homewood city, Alabama, 01, 35800, 2021-01-19 14:47:03
15, Hoover city, Alabama, 01, 35896, 2021-01-19 14:47:03
16, Huntsville city, Alabama, 01, 37000, 2021-01-19 14:47:03
17, Madison city, Alabama, 01, 45784, 2021-01-19 14:47:03
18, Mobile city, Alabama, 01, 50000, 2021-01-19 14:47:03
19, Montgomery city, Alabama, 01, 51000, 2021-01-19 14:47:03
20, Mountain Brook city, Alabama, 01, 51696, 2021-01-19 14:47:03
21, Northport city, Alabama, 01, 55200, 2021-01-19 14:47:03
22, Opelika city, Alabama, 01, 57048, 2021-01-19 14:47:03
23, Oxford city, Alabama, 01, 57576, 2021-01-19 14:47:03
24, Pelham city, Alabama, 01, 58848, 2021-01-19 14:47:03
25, Phenix City city, Alabama, 01, 59472, 2021-01-19 14:47:03
26, Prattville city, Alabama, 01, 62328, 2021-01-19 14:47:03
27, Prichard city, Alabama, 01, 62496, 2021-01-19 14:47:03
28, Trussville city, Alabama, 01, 76944, 2021-01-19 14:47:03
29, Tuscaloosa city, Alabama, 01, 77256, 2021-01-19 14:47:03
30, Vestavia Hills city, Alabama, 01, 78552, 2021-01-19 14:47:03
31, Anchorage municipality, Alaska, 02, 03000, 2021-01-19 14:47:03
32, Badger CDP, Alaska, 02, 05000, 2021-01-19 14:47:03
33, Fairbanks city, Alaska, 02, 24230, 2021-01-19 14:47:03
34, Juneau city and borough, Alaska, 02, 36400, 2021-01-19 14:47:03
35, Apache Junction city, Arizona, 04, 02830, 2021-01-19 14:47:03
