county_id,county_name,state,state_code,code,created
1, Autauga County, Alabama,1,1,25-01-2021 11:45
2, Baldwin County, Alabama,1,3,25-01-2021 11:45
3, Barbour County, Alabama,1,5,25-01-2021 11:45
4, Bibb County, Alabama,1,7,25-01-2021 11:45
5, Blount County, Alabama,1,9,25-01-2021 11:45
6, Jefferson County, Kentucky,21,111,25-01-2021 11:45
7, Jessamine County, Kentucky,21,113,25-01-2021 11:45
8, Johnson County, Kentucky,21,115,25-01-2021 11:45
9, Kenton County, Kentucky,21,117,25-01-2021 11:45
10, Knox County, Kentucky,21,121,25-01-2021 11:45
11, Laurel County, Kentucky,21,125,25-01-2021 11:45
12, Letcher County, Kentucky,21,133,25-01-2021 11:45
13, Lincoln County, Kentucky,21,137,25-01-2021 11:45
14, Logan County, Kentucky,21,141,25-01-2021 11:45
15, McCracken County, Kentucky,21,145,25-01-2021 11:45
16, Madison County, Kentucky,21,151,25-01-2021 11:45
17, Marion County, Kentucky,21,155,25-01-2021 11:45
18, Marshall County, Kentucky,21,157,25-01-2021 11:45
19, Meade County, Kentucky,21,163,25-01-2021 11:45
20, Mercer County, Kentucky,21,167,25-01-2021 11:45
21, Montgomery County, Kentucky,21,173,25-01-2021 11:45
22, Muhlenberg County, Kentucky,21,177,25-01-2021 11:45
23, Nelson County, Kentucky,21,179,25-01-2021 11:45
24, Ohio County, Kentucky,21,183,25-01-2021 11:45
25, Oldham County, Kentucky,21,185,25-01-2021 11:45
26, Perry County, Kentucky,21,193,25-01-2021 11:45
27, Pike County, Kentucky,21,195,25-01-2021 11:45
28, Pulaski County, Kentucky,21,199,25-01-2021 11:45
29, Rowan County, Kentucky,21,205,25-01-2021 11:45
30, Scott County, Kentucky,21,209,25-01-2021 11:45
31, Shelby County, Kentucky,21,211,25-01-2021 11:45
32, Taylor County, Kentucky,21,217,25-01-2021 11:45
33, Warren County, Kentucky,21,227,25-01-2021 11:45
34, Wayne County, Kentucky,21,231,25-01-2021 11:45
35, Whitley County, Kentucky,21,235,25-01-2021 11:45
36, Woodford County, Kentucky,21,239,25-01-2021 11:45
37, Acadia Parish, Louisiana,22,1,25-01-2021 11:45
38, Allen Parish, Louisiana,22,3,25-01-2021 11:45
39, Ascension Parish, Louisiana,22,5,25-01-2021 11:45
