state_census_id,state_id,median_age,male,female,white_alone,black_africal,native,asian,islander,other,two_more,median_family_income,household_income,median_household_income,household_less_20,household_20_39,household_40_59,household_60_99,household_100_149,household_150_200,household_200_more,below_poverty,below_poverty_under_18,below_poverty_18_64,below_poverty_65_over,above_poverty,above_poverty_under_18,above_poverty_18_64,above_poverty_65_over,travel_time,travel_time_less_10,travel_time_10_29,travel_time_30_59,travel_time_60_more,means_transit,means_transit_drove_alone,means_transit_carpooled,means_transit_public_transit,means_transit_other,means_transit_worked_home,total_population_in_occupied_housing,owner_occupied,renter_occupied,total_occupany,occupied,vacant,median_value_of_owner_occupied_housing_units,total_housing_units,total_geographical_mobility,same_house_1_year,moved_within_same_county,moved_from_diff_county_within_same_state,moved_from_diff_state,moved_from_abroad,total_edu_attainment,edu_less_9,edu_9_12,edu_high_school,edu_no_degree,edu_associate_degree,edu_bachelor_degree,edu_professional_degree,total_birth_in_us,birth_native,birth_residence_state,birth_other_state,birth_outside_us,foreign_born,year
1,1,38.7,2352810,2506169,3329913,1303298,20503,59393,4448,54105,87319,57160,1846390,44765,421076,416917,312550,376910,193760,67117,58060,876016,290825,511611,73580,3860317,802133,2388490,669694,1947966,232239,1046595,551112,118020,2011723,1719972,180752,6066,41176,63757,4739380,3269581,1469799,2218391,1846390,372001,134100,2218391,4801599,4113945,410330,150689,114876,11759,3282252,158830,338052,1018063,707979,266452,504626,288250,4858979,4689007,3403844,1248961,36202,169972,2015
2,2,33.3,388695,349737,481314,26176,101133,47295,6762,12467,63285,86376,250185,73355,26856,37507,36818,64062,46979,21191,16772,74532,27849,43545,3138,646233,155390,423895,66948,346980,87909,199436,43014,16621,363075,246577,45738,5608,49057,16095,710491,470431,240060,309453,250185,59268,259600,309453,727862,582909,86474,19295,34696,4488,469523,12121,22495,128052,129326,38113,87869,51547,738432,679888,308448,355153,16287,58544,2015
3,3,37.4,3387385,3440680,5285994,300685,308469,217556,11284,481631,222446,61042,2463008,51492,431615,523399,441241,554360,297410,111497,103486,1159043,393858,665969,99216,5512662,1201726,3302265,1008671,2740046,336851,1418633,806624,177938,2899727,2234511,307864,59686,137985,159681,6673383,4121791,2551592,2929173,2463008,466165,194300,2929173,6747595,5536087,798972,111939,253281,47316,4536954,271316,359657,1110871,1155555,382106,788933,468516,6828065,5913665,2679897,3135027,98741,914400,2015
4,4,37.9,1463576,1514628,2308047,469555,20797,42404,7639,65542,64220,52449,1144663,41995,259127,284684,201659,230185,106075,28889,34044,550508,187693,315532,47283,2336829,502188,1420701,413940,1214918,227942,660277,258459,68240,1253288,1035546,134929,5791,38652,38370,2894177,1907739,986438,1347598,1144663,202935,120700,1347598,2938341,2440359,292271,115081,81594,9036,1987819,105945,184126,678452,450886,135029,278975,154406,2978204,2835363,1837618,975303,22442,142841,2015
5,5,36.2,19440558,19704260,23824254,2277229,282777,5548936,157554,5300297,1753771,73581,12896357,64500,1893023,2223456,1911770,2787486,1969541,963189,1147892,5891678,1901505,3484214,505959,32506379,7080376,20837331,4588672,16663807,1602588,7978727,5111632,1970860,17633846,13031320,1770281,923600,938606,970039,38323824,20810793,17513031,13988399,12896357,1092042,449100,13988399,38675135,33446324,3314066,1063601,514477,336667,26085263,2582757,2060753,5430081,5603279,1992703,5285754,3129936,39144818,28456482,21454567,6481442,520473,10688336,2015
6,6,36.4,2741020,2715554,4607390,224809,49138,162880,9136,209890,193331,78384,2074735,63909,264060,367492,338803,497497,334231,136241,136411,613549,182541,382030,48978,4726069,1057328,3021622,647119,2545464,319013,1317203,723376,185872,2740368,2095695,230500,80917,138352,194904,5340828,3502826,1838002,2309122,2074735,234387,283800,2309122,5393067,4404058,464316,263761,227445,33487,3671853,135573,188280,796984,809037,301203,909032,531744,5456574,4919508,2329855,2503715,85938,537066,2015
7,7,40.6,1752063,1838823,2747943,380571,8893,156249,519,180107,116604,91388,1343703,71346,181948,199448,193079,291510,228230,110764,138724,366909,109293,218244,39372,3114023,642588,1967395,504040,1688242,202783,881953,448757,154749,1773121,1391000,138902,87516,70824,84879,3473954,2403154,1070800,1496056,1343703,152353,270900,1496056,3554844,3109580,262279,77847,76997,28141,2474718,104772,137496,678916,417520,187970,535933,412111,3590886,3071238,1985475,956742,129021,519648,2015
8,8,39.7,458208,487726,654904,203863,3121,36114,334,19157,28441,74931,352595,61255,45653,68291,58126,89394,50741,22193,18197,114360,38972,65622,9766,805995,162304,496707,146984,420305,46022,231325,108893,34065,441183,359029,34752,12104,14420,20878,920351,655923,264428,421734,352595,69139,240200,421734,935813,800701,73579,12430,44495,4608,652636,24692,47663,194810,130986,52556,117581,84348,945934,858425,431303,414365,12757,87509,2015
9,9,33.8,319705,352523,269143,318831,1661,25944,475,34797,21377,94846,281787,75628,47289,37379,34348,52000,44983,24445,41343,110500,29729,69604,11167,527527,86329,378688,62510,336621,18752,143801,146455,27613,358150,120333,18456,128135,69697,21529,632019,272208,359811,309596,281787,27809,551300,309596,663006,525024,67188,0,59905,10889,472884,20227,28022,82181,60107,14002,112629,155716,672228,577111,240836,323439,12836,95117,2015
10,10,41.8,9891238,10380034,15357374,3280778,47032,544068,11898,528266,501856,59339,7463184,49426,1360052,1695794,1330287,1608109,829065,311201,328676,3116886,931601,1786129,399156,16733168,3102601,10151142,3479425,8386795,753323,4209229,2760963,663280,8880102,7075864,794711,195638,320582,493307,19840623,12527413,7313210,9210287,7463184,1747103,179800,9210287,20068392,16832374,1806706,632122,584938,212252,14394281,750053,1031199,4201879,2935247,1383565,2620339,1471999,20271272,16185032,7286501,8170020,728511,4086240,2015
